# t K U E
0 7.22313e-06 24.0796 24.0796
0.001 2.88925e-05 24.0795 24.0796
0.002 6.50081e-05 24.0795 24.0796
0.003 0.00011557 24.0795 24.0796
0.004 0.000180578 24.0794 24.0796
0.005 0.000260032 24.0793 24.0796
0.006 0.000353931 24.0792 24.0796
0.007 0.000462277 24.0791 24.0796
0.008 0.000585068 24.079 24.0796
0.009 0.000722305 24.0788 24.0796
0.01 0.000873988 24.0787 24.0796
0.011 0.00104012 24.0785 24.0796
0.012 0.00122069 24.0783 24.0796
0.013 0.0014157 24.0782 24.0796
0.014 0.00162517 24.0779 24.0796
0.015 0.00184907 24.0777 24.0796
0.016 0.00208742 24.0775 24.0796
0.017 0.00234022 24.0772 24.0796
0.018 0.00260745 24.077 24.0796
0.019 0.00288913 24.0767 24.0796
0.02 0.00318526 24.0764 24.0796
0.021 0.00349582 24.0761 24.0796
0.022 0.00382083 24.0757 24.0796
0.023 0.00416028 24.0754 24.0796
0.024 0.00451417 24.0751 24.0796
0.025 0.0048825 24.0747 24.0796
0.026 0.00526527 24.0743 24.0796
0.027 0.00566249 24.0739 24.0796
0.028 0.00607414 24.0735 24.0796
0.029 0.00650023 24.0731 24.0796
0.03 0.00694076 24.0726 24.0796
0.031 0.00739572 24.0722 24.0796
0.032 0.00786513 24.0717 24.0796
0.033 0.00834897 24.0712 24.0796
0.034 0.00884725 24.0707 24.0796
0.035 0.00935996 24.0702 24.0796
0.036 0.00988711 24.0697 24.0796
0.037 0.0104287 24.0691 24.0796
0.038 0.0109847 24.0686 24.0796
0.039 0.0115552 24.068 24.0796
0.04 0.01214 24.0674 24.0796
0.041 0.0127393 24.0668 24.0796
0.042 0.0133531 24.0662 24.0796
0.043 0.0139813 24.0656 24.0796
0.044 0.0146239 24.0649 24.0796
0.045 0.0152809 24.0643 24.0796
0.046 0.0159524 24.0636 24.0796
0.047 0.0166382 24.0629 24.0796
0.048 0.0173386 24.0622 24.0796
0.049 0.0180533 24.0615 24.0796
0.05 0.0187825 24.0608 24.0796
0.051 0.019526 24.06 24.0796
0.052 0.0202841 24.0593 24.0796
0.053 0.0210565 24.0585 24.0796
0.054 0.0218433 24.0577 24.0796
0.055 0.0226446 24.0569 24.0796
0.056 0.0234603 24.0561 24.0796
0.057 0.0242904 24.0553 24.0796
0.058 0.0251349 24.0544 24.0796
0.059 0.0259939 24.0536 24.0796
0.06 0.0268672 24.0527 24.0796
0.061 0.027755 24.0518 24.0796
0.062 0.0286572 24.0509 24.0796
0.063 0.0295738 24.05 24.0796
0.064 0.0305048 24.0491 24.0796
0.065 0.0314502 24.0481 24.0796
0.066 0.0324101 24.0472 24.0796
0.067 0.0333843 24.0462 24.0796
0.068 0.0343729 24.0452 24.0796
0.069 0.035376 24.0442 24.0796
0.07 0.0363934 24.0432 24.0796
0.071 0.0374253 24.0421 24.0796
0.072 0.0384715 24.0411 24.0796
0.073 0.0395322 24.04 24.0796
0.074 0.0406072 24.039 24.0796
0.075 0.0416967 24.0379 24.0796
0.076 0.0428005 24.0368 24.0796
0.077 0.0439188 24.0356 24.0796
0.078 0.0450514 24.0345 24.0796
0.079 0.0461984 24.0334 24.0796
0.08 0.0473598 24.0322 24.0796
0.081 0.0485356 24.031 24.0796
0.082 0.0497258 24.0298 24.0796
0.083 0.0509304 24.0286 24.0796
0.084 0.0521494 24.0274 24.0796
0.085 0.0533827 24.0262 24.0796
0.086 0.0546304 24.0249 24.0796
0.087 0.0558926 24.0237 24.0796
0.088 0.0571691 24.0224 24.0796
0.089 0.0584599 24.0211 24.0796
0.09 0.0597652 24.0198 24.0796
0.091 0.0610848 24.0185 24.0796
0.092 0.0624188 24.0171 24.0796
0.093 0.0637671 24.0158 24.0796
0.094 0.0651299 24.0144 24.0796
0.095 0.066507 24.0131 24.0796
0.096 0.0678984 24.0117 24.0796
0.097 0.0693043 24.0103 24.0796
0.098 0.0707245 24.0088 24.0796
0.099 0.072159 24.0074 24.0796
0.1 0.0736079 24.006 24.0796
0.101 0.0750712 24.0045 24.0796
0.102 0.0765488 24.003 24.0796
0.103 0.0780408 24.0015 24.0796
0.104 0.0795472 24 24.0796
0.105 0.0810678 23.9985 24.0796
0.106 0.0826029 23.997 24.0796
0.107 0.0841523 23.9954 24.0796
0.108 0.085716 23.9939 24.0796
0.109 0.0872941 23.9923 24.0796
0.11 0.0888865 23.9907 24.0796
0.111 0.0904932 23.9891 24.0796
0.112 0.0921143 23.9875 24.0796
0.113 0.0937497 23.9858 24.0796
0.114 0.0953995 23.9842 24.0796
0.115 0.0970636 23.9825 24.0796
0.116 0.098742 23.9808 24.0796
0.117 0.100435 23.9791 24.0796
0.118 0.102142 23.9774 24.0796
0.119 0.103863 23.9757 24.0796
0.12 0.105599 23.974 24.0796
0.121 0.107349 23.9722 24.0796
0.122 0.109113 23.9705 24.0796
0.123 0.110892 23.9687 24.0796
0.124 0.112685 23.9669 24.0796
0.125 0.114492 23.9651 24.0796
0.126 0.116314 23.9633 24.0796
0.127 0.11815 23.9614 24.0796
0.128 0.12 23.9596 24.0796
0.129 0.121865 23.9577 24.0796
0.13 0.123743 23.9558 24.0796
0.131 0.125636 23.9539 24.0796
0.132 0.127544 23.952 24.0796
0.133 0.129466 23.9501 24.0796
0.134 0.131402 23.9482 24.0796
0.135 0.133352 23.9462 24.0796
0.136 0.135316 23.9443 24.0796
0.137 0.137295 23.9423 24.0796
0.138 0.139288 23.9403 24.0796
0.139 0.141296 23.9383 24.0796
0.14 0.143318 23.9363 24.0796
0.141 0.145353 23.9342 24.0796
0.142 0.147404 23.9322 24.0796
0.143 0.149468 23.9301 24.0796
0.144 0.151547 23.928 24.0796
0.145 0.15364 23.9259 24.0796
0.146 0.155747 23.9238 24.0796
0.147 0.157869 23.9217 24.0796
0.148 0.160005 23.9196 24.0796
0.149 0.162155 23.9174 24.0796
0.15 0.164319 23.9152 24.0796
0.151 0.166498 23.9131 24.0796
0.152 0.16869 23.9109 24.0796
0.153 0.170898 23.9087 24.0796
0.154 0.173119 23.9064 24.0796
0.155 0.175354 23.9042 24.0796
0.156 0.177604 23.902 24.0796
0.157 0.179868 23.8997 24.0796
0.158 0.182146 23.8974 24.0796
0.159 0.184439 23.8951 24.0796
0.16 0.186746 23.8928 24.0796
0.161 0.189066 23.8905 24.0796
0.162 0.191402 23.8882 24.0796
0.163 0.193751 23.8858 24.0796
0.164 0.196114 23.8835 24.0796
0.165 0.198492 23.8811 24.0796
0.166 0.200884 23.8787 24.0796
0.167 0.20329 23.8763 24.0796
0.168 0.205711 23.8739 24.0796
0.169 0.208145 23.8714 24.0796
0.17 0.210594 23.869 24.0796
0.171 0.213057 23.8665 24.0796
0.172 0.215534 23.864 24.0796
0.173 0.218026 23.8615 24.0796
0.174 0.220531 23.859 24.0796
0.175 0.223051 23.8565 24.0796
0.176 0.225585 23.854 24.0796
0.177 0.228133 23.8514 24.0796
0.178 0.230695 23.8489 24.0796
0.179 0.233272 23.8463 24.0796
0.18 0.235862 23.8437 24.0796
0.181 0.238467 23.8411 24.0796
0.182 0.241086 23.8385 24.0796
0.183 0.243719 23.8358 24.0796
0.184 0.246366 23.8332 24.0796
0.185 0.249027 23.8305 24.0796
0.186 0.251703 23.8279 24.0796
0.187 0.254393 23.8252 24.0796
0.188 0.257096 23.8225 24.0796
0.189 0.259814 23.8198 24.0796
0.19 0.262546 23.817 24.0796
0.191 0.265293 23.8143 24.0796
0.192 0.268053 23.8115 24.0796
0.193 0.270827 23.8087 24.0796
0.194 0.273616 23.806 24.0796
