# t K U E
0 5 0.00019135 5.00019
0.001 5 0.000190777 5.00019
0.002 5 0.000190206 5.00019
0.003 5 0.000189637 5.00019
0.004 5 0.000189069 5.00019
0.005 5 0.000188504 5.00019
0.006 5 0.00018794 5.00019
0.007 5 0.000187378 5.00019
0.008 5.00001 0.000186818 5.00019
0.009 5.00001 0.00018626 5.00019
0.01 5.00001 0.000185703 5.00019
0.011 5.00001 0.000185149 5.00019
0.012 5.00001 0.000184596 5.00019
0.013 5.00001 0.000184045 5.00019
0.014 5.00001 0.000183495 5.00019
0.015 5.00001 0.000182948 5.00019
0.016 5.00001 0.000182402 5.00019
0.017 5.00001 0.000181858 5.00019
0.018 5.00001 0.000181316 5.00019
0.019 5.00001 0.000180775 5.00019
0.02 5.00001 0.000180237 5.00019
0.021 5.00001 0.0001797 5.00019
0.022 5.00001 0.000179164 5.00019
0.023 5.00001 0.000178631 5.00019
0.024 5.00001 0.000178099 5.00019
0.025 5.00001 0.000177569 5.00019
0.026 5.00001 0.00017704 5.00019
0.027 5.00002 0.000176514 5.00019
0.028 5.00002 0.000175989 5.00019
0.029 5.00002 0.000175465 5.00019
0.03 5.00002 0.000174944 5.00019
0.031 5.00002 0.000174424 5.00019
0.032 5.00002 0.000173905 5.00019
0.033 5.00002 0.000173389 5.00019
0.034 5.00002 0.000172874 5.00019
0.035 5.00002 0.000172361 5.00019
0.036 5.00002 0.000171849 5.00019
0.037 5.00002 0.000171339 5.00019
0.038 5.00002 0.00017083 5.00019
0.039 5.00002 0.000170324 5.00019
0.04 5.00002 0.000169819 5.00019
0.041 5.00002 0.000169315 5.00019
0.042 5.00002 0.000168813 5.00019
0.043 5.00002 0.000168313 5.00019
0.044 5.00002 0.000167814 5.00019
0.045 5.00002 0.000167317 5.00019
0.046 5.00003 0.000166822 5.00019
0.047 5.00003 0.000166328 5.00019
0.048 5.00003 0.000165836 5.00019
0.049 5.00003 0.000165345 5.00019
0.05 5.00003 0.000164856 5.00019
0.051 5.00003 0.000164368 5.00019
0.052 5.00003 0.000163882 5.00019
0.053 5.00003 0.000163398 5.00019
