# t K U E
0 5 0.000190136 5.00019
0.001 5 0.000189566 5.00019
0.002 5 0.000188999 5.00019
0.003 5 0.000188433 5.00019
0.004 5 0.000187869 5.00019
0.005 5 0.000187307 5.00019
0.006 5 0.000186746 5.00019
0.007 5 0.000186188 5.00019
0.008 5.00001 0.000185631 5.00019
0.009 5.00001 0.000185076 5.00019
0.01 5.00001 0.000184523 5.00019
0.011 5.00001 0.000183971 5.00019
0.012 5.00001 0.000183422 5.00019
0.013 5.00001 0.000182874 5.00019
0.014 5.00001 0.000182328 5.00019
0.015 5.00001 0.000181784 5.00019
0.016 5.00001 0.000181241 5.00019
0.017 5.00001 0.0001807 5.00019
0.018 5.00001 0.000180161 5.00019
0.019 5.00001 0.000179624 5.00019
0.02 5.00001 0.000179089 5.00019
0.021 5.00001 0.000178555 5.00019
0.022 5.00001 0.000178023 5.00019
0.023 5.00001 0.000177492 5.00019
0.024 5.00001 0.000176964 5.00019
0.025 5.00001 0.000176437 5.00019
0.026 5.00001 0.000175911 5.00019
0.027 5.00002 0.000175388 5.00019
0.028 5.00002 0.000174866 5.00019
0.029 5.00002 0.000174346 5.00019
0.03 5.00002 0.000173827 5.00019
0.031 5.00002 0.00017331 5.00019
0.032 5.00002 0.000172795 5.00019
0.033 5.00002 0.000172282 5.00019
0.034 5.00002 0.00017177 5.00019
0.035 5.00002 0.00017126 5.00019
0.036 5.00002 0.000170751 5.00019
0.037 5.00002 0.000170244 5.00019
0.038 5.00002 0.000169739 5.00019
0.039 5.00002 0.000169235 5.00019
0.04 5.00002 0.000168733 5.00019
0.041 5.00002 0.000168233 5.00019
0.042 5.00002 0.000167734 5.00019
0.043 5.00002 0.000167237 5.00019
0.044 5.00002 0.000166741 5.00019
0.045 5.00002 0.000166247 5.00019
0.046 5.00002 0.000165754 5.00019
0.047 5.00003 0.000165264 5.00019
0.048 5.00003 0.000164774 5.00019
0.049 5.00003 0.000164287 5.00019
0.05 5.00003 0.0001638 5.00019
0.051 5.00003 0.000163316 5.00019
0.052 5.00003 0.000162833 5.00019
0.053 5.00003 0.000162351 5.00019
0.054 5.00003 0.000161871 5.00019
0.055 5.00003 0.000161393 5.00019
0.056 5.00003 0.000160916 5.00019
0.057 5.00003 0.00016044 5.00019
0.058 5.00003 0.000159967 5.00019
0.059 5.00003 0.000159494 5.00019
0.06 5.00003 0.000159023 5.00019
0.061 5.00003 0.000158554 5.00019
0.062 5.00003 0.000158086 5.00019
0.063 5.00003 0.00015762 5.00019
0.064 5.00003 0.000157155 5.00019
0.065 5.00003 0.000156692 5.00019
0.066 5.00003 0.00015623 5.00019
0.067 5.00003 0.000155769 5.00019
0.068 5.00004 0.00015531 5.00019
0.069 5.00004 0.000154853 5.00019
0.07 5.00004 0.000154397 5.00019
0.071 5.00004 0.000153942 5.00019
0.072 5.00004 0.000153489 5.00019
0.073 5.00004 0.000153038 5.00019
0.074 5.00004 0.000152587 5.00019
0.075 5.00004 0.000152139 5.00019
0.076 5.00004 0.000151691 5.00019
0.077 5.00004 0.000151245 5.00019
0.078 5.00004 0.000150801 5.00019
0.079 5.00004 0.000150358 5.00019
0.08 5.00004 0.000149916 5.00019
0.081 5.00004 0.000149476 5.00019
0.082 5.00004 0.000149037 5.00019
0.083 5.00004 0.000148599 5.00019
0.084 5.00004 0.000148163 5.00019
0.085 5.00004 0.000147729 5.00019
0.086 5.00004 0.000147295 5.00019
0.087 5.00004 0.000146863 5.00019
0.088 5.00004 0.000146433 5.00019
0.089 5.00004 0.000146004 5.00019
0.09 5.00005 0.000145576 5.00019
0.091 5.00005 0.000145149 5.00019
0.092 5.00005 0.000144724 5.00019
0.093 5.00005 0.0001443 5.00019
0.094 5.00005 0.000143878 5.00019
0.095 5.00005 0.000143457 5.00019
0.096 5.00005 0.000143037 5.00019
0.097 5.00005 0.000142619 5.00019
0.098 5.00005 0.000142201 5.00019
0.099 5.00005 0.000141786 5.00019
0.1 5.00005 0.000141371 5.00019
0.101 5.00005 0.000140958 5.00019
0.102 5.00005 0.000140546 5.00019
0.103 5.00005 0.000140136 5.00019
0.104 5.00005 0.000139726 5.00019
0.105 5.00005 0.000139318 5.00019
0.106 5.00005 0.000138912 5.00019
0.107 5.00005 0.000138506 5.00019
0.108 5.00005 0.000138102 5.00019
0.109 5.00005 0.000137699 5.00019
0.11 5.00005 0.000137298 5.00019
0.111 5.00005 0.000136898 5.00019
0.112 5.00005 0.000136499 5.00019
0.113 5.00005 0.000136101 5.00019
0.114 5.00006 0.000135704 5.00019
0.115 5.00006 0.000135309 5.00019
0.116 5.00006 0.000134915 5.00019
0.117 5.00006 0.000134522 5.00019
0.118 5.00006 0.000134131 5.00019
0.119 5.00006 0.000133741 5.00019
0.12 5.00006 0.000133352 5.00019
0.121 5.00006 0.000132964 5.00019
0.122 5.00006 0.000132577 5.00019
0.123 5.00006 0.000132192 5.00019
0.124 5.00006 0.000131807 5.00019
0.125 5.00006 0.000131425 5.00019
0.126 5.00006 0.000131043 5.00019
0.127 5.00006 0.000130662 5.00019
0.128 5.00006 0.000130283 5.00019
0.129 5.00006 0.000129905 5.00019
0.13 5.00006 0.000129528 5.00019
0.131 5.00006 0.000129152 5.00019
0.132 5.00006 0.000128777 5.00019
0.133 5.00006 0.000128404 5.00019
0.134 5.00006 0.000128032 5.00019
0.135 5.00006 0.00012766 5.00019
0.136 5.00006 0.000127291 5.00019
0.137 5.00006 0.000126922 5.00019
0.138 5.00006 0.000126554 5.00019
0.139 5.00006 0.000126188 5.00019
0.14 5.00006 0.000125822 5.00019
0.141 5.00007 0.000125458 5.00019
0.142 5.00007 0.000125095 5.00019
0.143 5.00007 0.000124733 5.00019
0.144 5.00007 0.000124373 5.00019
0.145 5.00007 0.000124013 5.00019
0.146 5.00007 0.000123654 5.00019
0.147 5.00007 0.000123297 5.00019
0.148 5.00007 0.000122941 5.00019
0.149 5.00007 0.000122586 5.00019
0.15 5.00007 0.000122232 5.00019
0.151 5.00007 0.000121879 5.00019
0.152 5.00007 0.000121527 5.00019
0.153 5.00007 0.000121176 5.00019
0.154 5.00007 0.000120827 5.00019
0.155 5.00007 0.000120478 5.00019
0.156 5.00007 0.000120131 5.00019
0.157 5.00007 0.000119784 5.00019
0.158 5.00007 0.000119439 5.00019
0.159 5.00007 0.000119095 5.00019
0.16 5.00007 0.000118752 5.00019
0.161 5.00007 0.00011841 5.00019
0.162 5.00007 0.000118069 5.00019
0.163 5.00007 0.000117729 5.00019
0.164 5.00007 0.00011739 5.00019
0.165 5.00007 0.000117052 5.00019
0.166 5.00007 0.000116715 5.00019
0.167 5.00007 0.00011638 5.00019
0.168 5.00007 0.000116045 5.00019
0.169 5.00007 0.000115711 5.00019
0.17 5.00008 0.000115379 5.00019
0.171 5.00008 0.000115047 5.00019
0.172 5.00008 0.000114717 5.00019
0.173 5.00008 0.000114387 5.00019
0.174 5.00008 0.000114059 5.00019
0.175 5.00008 0.000113731 5.00019
0.176 5.00008 0.000113405 5.00019
0.177 5.00008 0.00011308 5.00019
0.178 5.00008 0.000112755 5.00019
0.179 5.00008 0.000112432 5.00019
0.18 5.00008 0.000112109 5.00019
0.181 5.00008 0.000111788 5.00019
0.182 5.00008 0.000111468 5.00019
0.183 5.00008 0.000111148 5.00019
0.184 5.00008 0.00011083 5.00019
0.185 5.00008 0.000110512 5.00019
0.186 5.00008 0.000110196 5.00019
0.187 5.00008 0.000109881 5.00019
0.188 5.00008 0.000109566 5.00019
0.189 5.00008 0.000109253 5.00019
0.19 5.00008 0.00010894 5.00019
0.191 5.00008 0.000108629 5.00019
0.192 5.00008 0.000108318 5.00019
0.193 5.00008 0.000108008 5.00019
0.194 5.00008 0.0001077 5.00019
0.195 5.00008 0.000107392 5.00019
0.196 5.00008 0.000107085 5.00019
0.197 5.00008 0.00010678 5.00019
0.198 5.00008 0.000106475 5.00019
0.199 5.00008 0.000106171 5.00019
0.2 5.00008 0.000105868 5.00019
0.201 5.00009 0.000105566 5.00019
0.202 5.00009 0.000105265 5.00019
0.203 5.00009 0.000104964 5.00019
0.204 5.00009 0.000104665 5.00019
0.205 5.00009 0.000104367 5.00019
0.206 5.00009 0.00010407 5.00019
0.207 5.00009 0.000103773 5.00019
0.208 5.00009 0.000103477 5.00019
0.209 5.00009 0.000103183 5.00019
0.21 5.00009 0.000102889 5.00019
0.211 5.00009 0.000102596 5.00019
0.212 5.00009 0.000102304 5.00019
0.213 5.00009 0.000102013 5.00019
0.214 5.00009 0.000101723 5.00019
0.215 5.00009 0.000101434 5.00019
0.216 5.00009 0.000101146 5.00019
0.217 5.00009 0.000100858 5.00019
0.218 5.00009 0.000100571 5.00019
0.219 5.00009 0.000100286 5.00019
0.22 5.00009 0.000100001 5.00019
0.221 5.00009 9.9717e-05 5.00019
0.222 5.00009 9.94339e-05 5.00019
0.223 5.00009 9.91517e-05 5.00019
0.224 5.00009 9.88704e-05 5.00019
0.225 5.00009 9.85899e-05 5.00019
0.226 5.00009 9.83103e-05 5.00019
0.227 5.00009 9.80316e-05 5.00019
0.228 5.00009 9.77537e-05 5.00019
0.229 5.00009 9.74766e-05 5.00019
0.23 5.00009 9.72004e-05 5.00019
0.231 5.00009 9.69251e-05 5.00019
0.232 5.00009 9.66506e-05 5.00019
0.233 5.00009 9.63769e-05 5.00019
0.234 5.00009 9.61041e-05 5.00019
0.235 5.00009 9.58321e-05 5.00019
0.236 5.0001 9.5561e-05 5.00019
0.237 5.0001 9.52907e-05 5.00019
0.238 5.0001 9.50212e-05 5.00019
0.239 5.0001 9.47525e-05 5.00019
0.24 5.0001 9.44847e-05 5.00019
0.241 5.0001 9.42177e-05 5.00019
0.242 5.0001 9.39515e-05 5.00019
0.243 5.0001 9.36861e-05 5.00019
0.244 5.0001 9.34215e-05 5.00019
0.245 5.0001 9.31578e-05 5.00019
0.246 5.0001 9.28948e-05 5.00019
0.247 5.0001 9.26327e-05 5.00019
0.248 5.0001 9.23713e-05 5.00019
0.249 5.0001 9.21108e-05 5.00019
0.25 5.0001 9.1851e-05 5.00019
0.251 5.0001 9.1592e-05 5.00019
0.252 5.0001 9.13339e-05 5.00019
0.253 5.0001 9.10765e-05 5.00019
0.254 5.0001 9.08199e-05 5.00019
0.255 5.0001 9.05641e-05 5.00019
0.256 5.0001 9.0309e-05 5.00019
0.257 5.0001 9.00548e-05 5.00019
0.258 5.0001 8.98013e-05 5.00019
0.259 5.0001 8.95486e-05 5.00019
0.26 5.0001 8.92966e-05 5.00019
0.261 5.0001 8.90455e-05 5.00019
0.262 5.0001 8.87951e-05 5.00019
0.263 5.0001 8.85454e-05 5.00019
0.264 5.0001 8.82965e-05 5.00019
0.265 5.0001 8.80484e-05 5.00019
0.266 5.0001 8.7801e-05 5.00019
0.267 5.0001 8.75544e-05 5.00019
0.268 5.0001 8.73086e-05 5.00019
0.269 5.0001 8.70634e-05 5.00019
0.27 5.0001 8.68191e-05 5.00019
0.271 5.0001 8.65754e-05 5.00019
