# t K U E
0 5 0.000193273 5.00019
0.001 5 0.000193274 5.00019
0.002 5 0.000193274 5.00019
0.003 5 0.000193274 5.00019
0.004 5 0.000193275 5.00019
0.005 5 0.000193275 5.00019
0.006 5 0.000193275 5.00019
0.007 5 0.000193274 5.00019
0.008 5 0.000193274 5.00019
0.009 5 0.000193273 5.00019
0.01 5 0.000193273 5.00019
0.011 5 0.000193272 5.00019
0.012 5 0.000193271 5.00019
0.013 5 0.00019327 5.00019
0.014 5 0.000193268 5.00019
0.015 5 0.000193267 5.00019
0.016 5 0.000193266 5.00019
0.017 5 0.000193264 5.00019
0.018 5 0.000193262 5.00019
0.019 5 0.00019326 5.00019
0.02 5 0.000193258 5.00019
0.021 5 0.000193256 5.00019
0.022 5 0.000193253 5.00019
0.023 5 0.000193251 5.00019
0.024 5 0.000193248 5.00019
0.025 5 0.000193245 5.00019
0.026 5 0.000193242 5.00019
0.027 5 0.000193239 5.00019
0.028 5 0.000193236 5.00019
0.029 5 0.000193233 5.00019
0.03 5 0.000193229 5.00019
0.031 5 0.000193225 5.00019
0.032 5 0.000193222 5.00019
0.033 5 0.000193218 5.00019
0.034 5 0.000193213 5.00019
0.035 5 0.000193209 5.00019
0.036 5 0.000193205 5.00019
0.037 5 0.0001932 5.00019
0.038 5 0.000193196 5.00019
0.039 5 0.000193191 5.00019
0.04 5 0.000193186 5.00019
0.041 5 0.000193181 5.00019
0.042 5 0.000193176 5.00019
0.043 5 0.00019317 5.00019
0.044 5 0.000193165 5.00019
0.045 5 0.000193159 5.00019
0.046 5 0.000193153 5.00019
0.047 5 0.000193147 5.00019
0.048 5 0.000193141 5.00019
0.049 5 0.000193135 5.00019
0.05 5 0.000193129 5.00019
0.051 5 0.000193122 5.00019
0.052 5 0.000193115 5.00019
0.053 5 0.000193109 5.00019
0.054 5 0.000193102 5.00019
0.055 5 0.000193095 5.00019
0.056 5 0.000193087 5.00019
0.057 5 0.00019308 5.00019
0.058 5 0.000193072 5.00019
0.059 5 0.000193065 5.00019
0.06 5 0.000193057 5.00019
0.061 5 0.000193049 5.00019
0.062 5 0.000193041 5.00019
0.063 5 0.000193033 5.00019
0.064 5 0.000193024 5.00019
0.065 5 0.000193016 5.00019
0.066 5 0.000193007 5.00019
0.067 5 0.000192999 5.00019
0.068 5 0.00019299 5.00019
0.069 5 0.000192981 5.00019
0.07 5 0.000192971 5.00019
0.071 5 0.000192962 5.00019
0.072 5 0.000192953 5.00019
0.073 5 0.000192943 5.00019
0.074 5 0.000192933 5.00019
0.075 5 0.000192923 5.00019
0.076 5 0.000192913 5.00019
0.077 5 0.000192903 5.00019
0.078 5 0.000192893 5.00019
0.079 5 0.000192882 5.00019
0.08 5 0.000192872 5.00019
0.081 5 0.000192861 5.00019
0.082 5 0.00019285 5.00019
0.083 5 0.000192839 5.00019
0.084 5 0.000192828 5.00019
0.085 5 0.000192816 5.00019
0.086 5 0.000192805 5.00019
0.087 5 0.000192793 5.00019
0.088 5 0.000192782 5.00019
0.089 5 0.00019277 5.00019
0.09 5 0.000192758 5.00019
0.091 5 0.000192745 5.00019
0.092 5 0.000192733 5.00019
0.093 5 0.000192721 5.00019
0.094 5 0.000192708 5.00019
0.095 5 0.000192695 5.00019
0.096 5 0.000192683 5.00019
0.097 5 0.00019267 5.00019
0.098 5 0.000192656 5.00019
0.099 5 0.000192643 5.00019
0.1 5 0.00019263 5.00019
0.101 5 0.000192616 5.00019
0.102 5 0.000192602 5.00019
0.103 5 0.000192589 5.00019
0.104 5 0.000192575 5.00019
0.105 5 0.00019256 5.00019
0.106 5 0.000192546 5.00019
0.107 5 0.000192532 5.00019
0.108 5 0.000192517 5.00019
0.109 5 0.000192502 5.00019
0.11 5 0.000192488 5.00019
0.111 5 0.000192473 5.00019
0.112 5 0.000192458 5.00019
0.113 5 0.000192442 5.00019
0.114 5 0.000192427 5.00019
0.115 5 0.000192411 5.00019
0.116 5 0.000192396 5.00019
0.117 5 0.00019238 5.00019
0.118 5 0.000192364 5.00019
0.119 5 0.000192348 5.00019
0.12 5 0.000192332 5.00019
0.121 5 0.000192315 5.00019
0.122 5 0.000192299 5.00019
0.123 5 0.000192282 5.00019
0.124 5 0.000192265 5.00019
0.125 5 0.000192248 5.00019
0.126 5 0.000192231 5.00019
0.127 5 0.000192214 5.00019
0.128 5 0.000192197 5.00019
0.129 5 0.000192179 5.00019
0.13 5 0.000192161 5.00019
0.131 5 0.000192144 5.00019
0.132 5 0.000192126 5.00019
0.133 5 0.000192108 5.00019
0.134 5 0.00019209 5.00019
0.135 5 0.000192071 5.00019
0.136 5 0.000192053 5.00019
0.137 5 0.000192034 5.00019
0.138 5 0.000192015 5.00019
0.139 5 0.000191997 5.00019
0.14 5 0.000191977 5.00019
0.141 5 0.000191958 5.00019
0.142 5 0.000191939 5.00019
0.143 5 0.00019192 5.00019
0.144 5 0.0001919 5.00019
0.145 5 0.00019188 5.00019
0.146 5 0.00019186 5.00019
0.147 5 0.00019184 5.00019
0.148 5 0.00019182 5.00019
