# t K U E
0 20 0.000198463 20.0002
0.001 20 0.000198466 20.0002
0.002 20 0.000198468 20.0002
0.003 20 0.000198469 20.0002
0.004 20 0.00019847 20.0002
0.005 20 0.000198471 20.0002
0.006 20 0.00019847 20.0002
0.007 20 0.00019847 20.0002
0.008 20 0.000198468 20.0002
0.009 20 0.000198466 20.0002
0.01 20 0.000198464 20.0002
0.011 20 0.000198461 20.0002
0.012 20 0.000198457 20.0002
0.013 20 0.000198453 20.0002
0.014 20 0.000198448 20.0002
0.015 20 0.000198443 20.0002
0.016 20 0.000198437 20.0002
0.017 20 0.00019843 20.0002
0.018 20 0.000198423 20.0002
0.019 20 0.000198416 20.0002
0.02 20 0.000198407 20.0002
0.021 20 0.000198399 20.0002
0.022 20 0.000198389 20.0002
0.023 20 0.000198379 20.0002
0.024 20 0.000198369 20.0002
0.025 20 0.000198358 20.0002
0.026 20 0.000198346 20.0002
0.027 20 0.000198334 20.0002
0.028 20 0.000198321 20.0002
0.029 20 0.000198308 20.0002
0.03 20 0.000198294 20.0002
0.031 20 0.00019828 20.0002
0.032 20 0.000198265 20.0002
0.033 20 0.000198249 20.0002
0.034 20 0.000198233 20.0002
0.035 20 0.000198217 20.0002
0.036 20 0.000198199 20.0002
0.037 20 0.000198182 20.0002
0.038 20 0.000198163 20.0002
0.039 20 0.000198144 20.0002
0.04 20 0.000198125 20.0002
0.041 20 0.000198105 20.0002
0.042 20 0.000198084 20.0002
0.043 20 0.000198063 20.0002
0.044 20 0.000198041 20.0002
0.045 20 0.000198019 20.0002
0.046 20 0.000197996 20.0002
0.047 20 0.000197972 20.0002
0.048 20 0.000197948 20.0002
0.049 20 0.000197924 20.0002
0.05 20 0.000197899 20.0002
0.051 20 0.000197873 20.0002
0.052 20 0.000197847 20.0002
0.053 20 0.00019782 20.0002
0.054 20 0.000197793 20.0002
0.055 20 0.000197765 20.0002
0.056 20 0.000197736 20.0002
0.057 20 0.000197707 20.0002
0.058 20 0.000197677 20.0002
0.059 20 0.000197647 20.0002
0.06 20 0.000197617 20.0002
0.061 20 0.000197585 20.0002
